# id,flightNumber,departure,destination,departureTime,arrivalTime,price,availableSeats,airline
1,AA101,New York,Los Angeles,08:00,11:30,299.99,45,American Airlines
2,UA202,Chicago,Miami,14:30,18:45,189.99,32,United Airlines
3,DL303,Boston,Seattle,10:15,13:45,349.99,58,Delta Airlines
4,SW404,Denver,Phoenix,16:00,17:30,129.99,21,Southwest Airlines
5,BA505,London,Paris,09:00,11:15,159.99,67,British Airways
6,AA150,New York,Miami,07:30,10:45,249.99,38,American Airlines
7,UA350,San Francisco,New York,06:00,14:30,399.99,52,United Airlines
8,DL420,Atlanta,Los Angeles,11:00,13:45,329.99,44,Delta Airlines
9,SW550,Las Vegas,Chicago,15:45,21:30,279.99,28,Southwest Airlines
10,JB100,Boston,Fort Lauderdale,08:15,11:30,189.99,35,JetBlue Airways
11,AA220,Dallas,Seattle,09:30,12:15,369.99,41,American Airlines
12,UA175,Houston,San Francisco,13:00,15:30,289.99,50,United Airlines
13,DL525,Detroit,Orlando,10:45,13:30,199.99,46,Delta Airlines
14,SW625,Phoenix,Las Vegas,17:30,18:15,89.99,18,Southwest Airlines
15,BA712,New York,London,19:00,07:15,599.99,72,British Airways
16,LH400,Frankfurt,New York,10:30,13:45,649.99,68,Lufthansa
17,AF100,Paris,New York,11:00,13:30,589.99,55,Air France
18,EK201,Dubai,Los Angeles,02:30,07:45,799.99,82,Emirates
19,QR150,Doha,New York,08:15,14:30,699.99,76,Qatar Airways
20,AA785,Miami,Los Angeles,12:00,14:45,329.99,39,American Airlines
21,UA920,Chicago,San Francisco,08:30,11:15,319.99,48,United Airlines
22,DL670,New York,Atlanta,06:45,08:45,149.99,42,Delta Airlines
23,SW780,San Diego,Denver,14:00,17:30,199.99,25,Southwest Airlines
24,JB250,New York,Las Vegas,09:00,11:45,359.99,33,JetBlue Airways
25,AA450,Los Angeles,Chicago,16:30,22:15,289.99,47,American Airlines
26,UA680,Denver,Boston,07:15,13:00,339.99,51,United Airlines
27,DL845,Seattle,Miami,10:00,18:15,419.99,36,Delta Airlines
28,SW315,Austin,Los Angeles,11:30,13:00,249.99,22,Southwest Airlines
29,BA180,Los Angeles,London,18:00,13:15,679.99,70,British Airways
30,LH455,Munich,Chicago,09:45,12:30,629.99,64,Lufthansa
31,AF275,New York,Paris,20:30,10:15,569.99,58,Air France
32,EK215,Los Angeles,Dubai,23:45,20:30,829.99,78,Emirates
33,QR702,New York,Doha,22:00,17:45,719.99,71,Qatar Airways
34,AA125,Phoenix,New York,06:00,13:30,319.99,40,American Airlines
35,UA560,Orlando,Seattle,09:30,12:45,389.99,45,United Airlines
36,DL190,Boston,Los Angeles,08:00,11:30,369.99,49,Delta Airlines
37,SW885,Las Vegas,Austin,13:15,18:45,219.99,26,Southwest Airlines
38,JB405,Fort Lauderdale,San Francisco,07:30,10:45,429.99,31,JetBlue Airways
39,AA990,Seattle,Miami,14:45,22:30,449.99,43,American Airlines
40,UA245,San Francisco,Chicago,15:00,21:15,299.99,54,United Airlines
41,DL555,Miami,Seattle,06:30,09:45,459.99,37,Delta Airlines
42,SW440,Denver,San Diego,12:00,13:30,169.99,20,Southwest Airlines
43,BA325,London,Los Angeles,11:30,14:45,659.99,66,British Airways
44,LH8910,Frankfurt,San Francisco,12:15,15:00,689.99,62,Lufthansa
45,NH110,Tokyo,Los Angeles,17:00,10:30,749.99,80,ANA
46,SQ25,Singapore,New York,23:30,06:15,899.99,85,Singapore Airlines
47,CX880,Hong Kong,San Francisco,15:45,12:30,779.99,74,Cathay Pacific
48,TK1,Istanbul,New York,13:00,16:45,569.99,69,Turkish Airlines
49,KL642,Amsterdam,Chicago,10:30,12:45,549.99,60,KLM
50,AC790,Toronto,Los Angeles,08:45,11:00,379.99,56,Air Canada
